1,0,89.9625
1,1,10.0375

2,0,35.9307
2,1,63.0545
2,2,1.0148

3,0,8.4013
3,1,75.3094
3,2,16.1927
3,3,0.0966

4,0,1.2587
4,1,37.6708
4,2,57.9644
4,3,3.0976
4,4,0.0085

5,0,0.1252
5,1,11.5772
5,2,65.9538
5,3,21.8464
5,4,0.4964
5,5,0.001

6,0,0.008
6,1,2.6675
6,2,35.4276
6,3,55.9607
6,4,5.8641
6,5,0.0719
6,6,0.0002

7,0,0.0009
7,1,0.5112
7,2,12.7683
7,3,58.8004
7,4,26.6294
7,5,1.2795
7,6,0.0103

8,1,0.0759
8,2,3.7613
8,3,32.6605
8,4,54.2574
8,5,9.0017
8,6,0.242
8,7,0.0012

9,1,0.01
9,2,0.9267
9,3,13.0743
9,4,52.8986
9,5,30.5673
9,6,2.479
9,7,0.0439
9,8,0.0002

10,1,0.0005
10,2,0.1867
10,3,4.4824
10,4,29.9352
10,5,52.4103
10,6,12.3858
10,7,0.5915
10,8,0.0076
